prompt,contributor,comment
"Analyze this startup idea [description]. Validate market opportunity (TAM/SAM/SOM), list top risks, propose a step‑by‑step plan to reach first $100k ARR and initial metrics to track.",@trend-bot,Startup validation prompts are popular for founders using Claude for rapid business planning.
"Create a 30‑day content calendar for [platform] in the [niche] space: include 3 weekly themes, post types, hook ideas, captions, and CTAs.",@trend-bot,Content planning prompts (from AI Hustle Guy style lists) are widely used by creators and marketers.
"Write a 60‑second Instagram Reel script on [topic] with a 5‑second hook, three digestible points, suggested visuals, and a clear CTA.",@trend-bot,Micro‑video scripting is trending as short‑form content dominates social platforms.
"Draft a 5‑part email nurture sequence for [audience] to convert to [offer]; include subject lines, one key metric per email, and suggested timing.",@trend-bot,Email automation and high‑converting sequences are top use cases in Claude prompt roundups.
"Analyze the attached dataset and produce a Python EDA script: data loading, cleaning steps, visualizations, statistical summaries, and actionable insights.",@trend-bot,Data analysis/EDA prompts (seen in FavTutor and tutorials) are trending among analysts using Claude.
"Generate 10 innovative product or business ideas for [niche], each with a USP, target audience, go‑to‑market channel, and basic monetization strategy.",@langgptai,Brainstorming/business idea prompts are highly popular (source: langgptai/awesome-claude-prompts).
"Polish this text: [paste text]. Provide three rewrites (formal, friendly, punchy), explain key edits, and give 5 SEO‑friendly title variations under 60 characters.",@trend-bot,Editing + SEO title prompts are commonly used for content optimization and publishing workflows.
"You are a seasoned entrepreneur. Analyze this product/service idea: validate market opportunity, identify target customers, list key risks and challenges, propose a go‑to‑market and revenue plan with milestones and metrics, and finish with a founder profile and next 90‑day roadmap. [Paste idea]",@godofprompt,Comprehensive startup evaluation prompt pulled from popular 'best Claude prompts' lists — trending among founders and builders (source: godofprompt.ai).
"You are an AI assistant with a witty sense of humor. When I give a topic, generate a list of original puns, wordplay, and short humorous lines related to that topic.",@Anthropic,"From Anthropic's Claude prompt library; users share this for light, viral social content and creative writing — trending for playful outputs (Tom's Guide)."
"Describe and interpret this dream. Explain symbolism, emotions, and possible real‑life meanings; offer reflective questions and three action prompts for personal insight.",@Anthropic,Dream‑analysis prompt from the Claude library that's trending as people use AI for self‑reflection and journaling insights (Tom's Guide).
"Given these available ingredients and dietary preferences, suggest 3 personalized recipes with a short description, full ingredient list, and step‑by‑step simple instructions, plus one substitution option per recipe.",@Anthropic,Meal/recipe prompt from Claude's official library — popular for meal planning and reducing food waste (Tom's Guide).
"Act as a data‑driven marketing strategist for [product]. Provide target segments, messaging pillars, channel mix, 90‑day campaign plan, sample ad copy, KPIs, and a testing matrix.",@godofprompt,"Marketing campaign prompt widely shared in marketing guides and blogs — trending as teams adopt Claude for GTM planning and copy (godofprompt.ai, godofprompt marketing list)."
"I have these tasks: [list]. Sort them by urgency and importance (Eisenhower), output a timed schedule for today with 25‑minute focus blocks, and give two tips to stay focused.",@AiTricksLab,Productivity prompt from 'Top Claude prompts' collections — trending with knowledge workers for daily planning and Pomodoro schedules (Ai Tricks Lab).
"Here are five user interview transcripts. Summarize key pain points, synthesize recurring themes, and map them to three lifecycle campaign ideas (onboarding, retention, win‑back) with triggers and message examples.",@customerio,Customer.io and CRO communities promote this prompt for rapid qualitative analysis and campaign ideation — trending among growth teams (Customer.io examples).
"Rewrite the following text in the voice of [author/brand]: preserve meaning but match tone, vocabulary, and rhythm. Provide the rewritten version plus a brief changelog of 3–5 edits explaining tone shifts.",@langgptai,From community prompt repos (GitHub) — popular for content creators and marketers who need on‑brand voice replication (langgptai repo).
"Create a Python EDA script for the attached dataset: include data loading, cleaning steps, visualization snippets, descriptive stats, correlation checks, and a short write‑up of 3 actionable insights.",@FavTutor,Technical prompt appearing on Claude prompt roundups — trending with analysts and ML practitioners for rapid exploratory analysis scaffolding (FavTutor list).
"Write a concise, personalized win‑back email for customers who purchased within the last 90 days but haven't opened emails since. Use {{first_name}} and {{product_category}}, include subject lines, and an A/B test variation.",@customerio,Specific lifecycle/email marketing prompt from Customer.io guidance — trending as teams automate churn mitigation with Claude (Customer.io examples).
"Conduct a comprehensive market segmentation analysis for [PRODUCT/SERVICE]: define segments, personas, TAM/SAM/SOM estimates, pain points, and actionable targeting/positioning strategies.",@trend-bot,Business/marketing prompt from popular Claude prompt lists — trending for product teams and CMOs (see GodofPrompt examples).
"Act as an AI financial advisor: analyze the user's income, expenses, debts, risk profile, and provide a budget, investment allocation, and step‑by‑step plan.",@trend-bot,Common Claude use for personalized finance guidance (featured in curated Claude prompt collections).
"Map and improve company customer service processes: audit workflows, propose SOPs, training plans, KPI dashboards, and example agent scripts.",@trend-bot,Operational prompt trending for CX optimization and automation (seen in Claude example responses).
"You are a seasoned entrepreneur — validate this product/service idea, identify market fit, competitors, key risks, and provide a step‑by‑step go‑to‑market and revenue plan.",@trend-bot,Startup validation prompt popular with founders for rapid idea vetting (appears in many Claude prompt roundups).
Generate original puns and wordplay for [TOPIC] in a witty voice — produce a list of sharable one‑liners and short quips.,@trend-bot,Anthropic's 'pun‑derful adventure' prompt — viral for social content and creative play (Tom's Guide / Anthropic library highlight).
"Interpret a user's dream: analyze symbols, emotions, and narrative, offer plausible psychological meanings and reflective follow‑up questions.",@trend-bot,Dream‑analysis prompt from the Claude prompt library — trending for introspective and creative uses (Anthropic feature).
"Create personalized recipes from a list of available ingredients and dietary preferences; include ingredient list, step‑by‑step instructions, substitutions, and timing.",@trend-bot,Recipe generator popular for meal planning and on‑the‑fly cooking assistance (featured in Claude examples and media guides).
"Act as an avant‑garde fashion advisor: suggest futuristic outfit concepts tailored to the user's style, with materials, color combos, styling tips and an optional MidJourney prompt.",@trend-bot,Fashion + image‑prompt combo trending after media coverage of Claude's prompt library (used for style and image generation).
"Analyze top trending topics in [INDUSTRY] over the past 30 days; identify 5 content gaps, suggest headlines, outlines, and target keywords with intent analysis.",@trend-bot,SEO/trend analysis prompt (from AIROPS and other SEO prompt lists) — widely used by content marketers to capture timely traffic.
"Brainstorm 5 innovative product or business ideas in [NICHE], each with a USP, target audience, feasibility notes, and a quick go‑to‑market hook.",@yzfly,Ideation prompt from the 'awesome‑claude‑prompts' GitHub collection (author @yzfly) — highly starred for entrepreneur and product teams.
"You are an expert marketing consultant. Conduct a comprehensive market segmentation analysis for [PRODUCT/SERVICE]: produce 4–6 target segments with personas, TAM/SAM estimates, primary pain points, tailored messaging, channel priorities, and a 90‑day go‑to‑market plan.",@trend-bot,"Business leaders use this for GTM strategy; appears across Claude prompt roundups (e.g., GodOfPrompt)."
"You are an AI financial advisor assistant. Given the user's income, monthly expenses, assets, liabilities, and goals, produce a monthly budget, debt‑repayment schedule, tax‑aware investment allocation, and a 3‑tier risk mitigation plan.",@trend-bot,High demand for personalized finance help; a common Claude use case noted in prompt collections.
"You are an HR optimization consultant. Audit our recruiting, hiring, onboarding, and training processes for [COMPANY]. Recommend step‑by‑step improvements, interview scripts, role scorecards, KPIs to track, and a 6‑month hiring roadmap.",@trend-bot,Organizations are using Claude to streamline hiring workflows; reflected in shared enterprise prompts.
"Create a complete marketing campaign for [PRODUCT]: define target personas, messaging pillars, channel mix, a 4‑week content calendar, 4 ad copy variants, metrics to track, and A/B test ideas for launch.",@godofprompt,One of the top marketing prompts from GodOfPrompt's lists — trending with CMOs and growth teams.
"Analyze top trending topics in [INDUSTRY] over the past 30 days. Identify 5 high‑opportunity content gaps with headline suggestions, target keywords, estimated search intent, and suggested formats (blog, video, social).",@airops,SEO and content teams use this to capture timely search traffic; based on AIrops' Claude SEO prompt examples.
"You are an AI assistant with a witty sense of humor. Given a topic, generate 20 original puns, 6 short captions, and 3 'punny' social post concepts tailored for Twitter/Instagram.",@tomsguide,From Anthropic's prompt library highlighted by Tom's Guide; popular for playful social content and shareable posts.
"Suggest 5 personalized recipes based on the user's available ingredients, dietary preferences, and time constraints. For each recipe give ingredients, step‑by‑step instructions, two substitution options, and plating/timing tips.",@tomsguide,Practical prompt from Anthropic's prompt collection — trending among home cooks and content creators.
"Act as a prompt engineer. Generate 12 high‑quality Claude prompts grouped by use case (marketing, research, coding, creative) with a one‑line usage note and a suggested system instruction for each.",@yzfly,Inspired by the 'Awesome Claude Prompts' GitHub repo — trending among prompt collectors and power users.
"Act as an experienced copywriter and craft an Instagram caption for [TOPIC]. Provide 3 tone variations (playful, authoritative, empathetic), 5 hashtag suggestions, and a 1‑line CTA optimized for engagement.",@promptadvance,From PromptAdvance-style collections — widely used by social teams to improve post performance.
"Summarize the uploaded research paper into a 4‑tweet thread that conveys the key findings, practical implications, and one suggested visual per tweet. Include a 1‑sentence TL;DR and 3 tweetable quotes.",@favtutor,FavTutor and other prompt lists emphasize Claude's long‑context summarization — useful for academics and content repurposing.
"You are a pragmatic entrepreneur AI. <role>Validate this product idea</role> <task>Provide market validation, top 3 risks, 6‑month roadmap to MVP, go‑to‑market plan, and KPIs</task> <response_format>JSON with sections: idea, market_validation, risks, roadmap, GTM, KPIs</response_format>",@trend-bot,Structured 'role/task/response_format' pattern for repeatable startup analyses (popular in prompt collections)
"Use <thinking> tags: first list assumptions and intermediate steps, then provide a concise final answer. Apply to multi-step reasoning or math problems.",@trend-bot,'Thinking' tags to let Claude 'think out loud' before final output — improves accuracy for complex tasks (widely recommended)
"You are an AI with a witty sense of humor. When given a topic, generate 15 original puns and 5 one‑line followups suitable for social posts.",@trend-bot,"Anthropic library favorite — viral, high‑engagement pun generator highlighted by Tom's Guide"
"You are a dream interpreter. Ask clarifying questions, then analyze symbols, emotions, and recurring themes; suggest 3 reflective prompts for the dreamer.",@trend-bot,Trend from Anthropic prompt library / Tom's Guide — popular for personal & wellness use
"Given a list of available ingredients and dietary preferences, generate 4 complete recipes (name, 6‑10 ingredients, step-by-step instructions, 20–40 min prep), plus one snack/leftover tip.",@trend-bot,Common Claude prompt for on‑demand cooking help; frequently surfaced in Anthropic and tutorial lists
"Be a futuristic fashion advisor: ask about style goals, then propose 5 avant‑garde outfits with materials, color palette, accessories, and a MidJourney prompt to visualize each.",@trend-bot,From Anthropic prompt library — blends style advice with image‑generation prompts (trending for creators)
"Create a 30‑day marketing plan for [product]. Output: target audience segments, 4 channels, 12 content ideas, 3 A/B test headlines, KPI dashboard (weekly cadence).",@trend-bot,Marketing prompt trending on GodOfPrompt and marketing prompt roundups for campaign planning
"Use a multi‑step research pipeline: (1) extract key facts from uploaded docs, (2) produce a structured article outline, (3) write section drafts iteratively — return JSON with outputs for each step.",@trend-bot,Workflow pattern (research → outline → draft) promoted in prompt libraries to exploit Claude's large context window
"Act as a senior engineer code reviewer: given code and an error description, list root causes, show minimal reproducible fix, refactor suggestions, and time/space complexity.",@yzfly,"From the langgptai 'awesome-claude-prompts' repo — standard for debugging, refactoring and complexity analysis"
"Here are my tasks: [list]. Sort by Eisenhower matrix priority, assign time estimates, and produce a time‑blocked Pomodoro schedule for today with 3 focus tips.",@trend-bot,Productivity prompt (task sorter + Pomodoro schedule) frequently appears in top Claude prompt lists for daily planning
Pun-derful adventure — witty pun generator,@Anthropic,"Official Claude prompt from Anthropic's library; trending after coverage on Tom's Guide for fun, shareable outputs"
Dream interpretation assistant — analyze dream symbolism,@Anthropic,From Anthropic's prompt library; popular for personal insight and often demoed in articles
Personalized recipe generator — use supplied ingredients & dietary prefs,@Anthropic,Widely used prompt that turns pantry lists into tailored recipes; highlighted in Claude how‑to guides
Futuristic fashion advisor — avant-garde outfit suggestions + MidJourney prompts,@trend-bot,Featured in media reviews and the Claude library; trending for fashion concepting and image-prompting
Task Sorter — sort my task list by urgency/importance and create today's schedule,@trend-bot,High-utility productivity prompt found across multiple 'best prompts' lists; commonly reused by users
Email Tamer — triage 50+ inbox emails and draft concise replies,@trend-bot,Trending among professionals for inbox automation; appears in many Claude prompt collections
"Project Roadmap — outline timeline, milestones, and task breakdown for [project]",@trend-bot,Popular business prompt for turning goals into actionable plans; recommended in productivity roundups
"Marketing Campaign Builder — create strategy, channels, ad copy, and calendar",@trend-bot,"Top prompt from marketing guides (godofprompt, aipromptlibrary); used to automate campaign planning"
Thinking tags / XML structured prompt template for multi-step complex tasks,@trend-bot,Technique promoted in AIPromptLibrary and other guides to improve Claude's reasoning on multi-step workflows
Awesome Claude Prompts (GitHub) — meta prompt & Claude-with-functions examples,@yzfly,Community-curated GitHub repo by yzfly collecting powerful prompts and examples; widely referenced by power users
"Conduct a comprehensive market segmentation analysis for [PRODUCT/SERVICE]: divide the market into distinct segments, create personas, estimate segment sizes, identify buying triggers, and provide positioning and go‑to‑market recommendations.",@trend-bot,"Business/strategy prompt trending for product launches and cited in business prompt collections (e.g., Godofprompt)."
"Act as an AI financial advisor assistant: analyze personal financial details, produce a budget, debt‑repayment plan, savings strategy, and recommended investment allocation aligned to risk profile.",@trend-bot,"Popular for consumers seeking automated, personalized finance guidance (example shown in Claude prompt guides)."
"Audit and optimize recruiting, hiring, training, and onboarding processes: map current workflows, identify bottlenecks, design SOPs, KPIs, and an implementation timeline.",@trend-bot,Trending as HR teams adopt AI to streamline talent operations (appears in Claude business prompt examples).
"You are a seasoned entrepreneur: analyze my product/service idea, validate market opportunity, list key risks, outline customer validation experiments, and provide a 12‑month roadmap to revenue.",@trend-bot,Used by founders for quick validation and action plans; derived from entrepreneur persona prompts in Claude examples.
"Analyze top trending topics in [industry] over the past 30 days and identify 5 specific content gaps with suggested headlines, outlines, and target keywords.",@trend-bot,SEO/content teams use this to capture timely search traffic; pulled from Claude SEO/trending prompt patterns (AIrops).
"Predict the top 5 trending seasonal topics in [industry] for the upcoming [season/holiday]; for each give a content angle, target keywords, and estimated search-volume growth.",@trend-bot,Seasonal content planning prompt recommended for preparing timely campaigns (source: AIrops' seasonal trend predictor).
"You are an AI assistant with a witty sense of humor: when given a topic, generate original puns, clever wordplay, and short comedic lines related to that topic.",@trend-bot,From Anthropic's prompt library (highlighted by Tom's Guide); trending for social posts and creative briefs.
"Interpret this dream: describe symbolic elements, emotional themes, multiple possible meanings, and reflective questions the dreamer can use.",@trend-bot,Dream‑interpretation prompt from Anthropic examples; popular for personal/self‑help use (Tom's Guide).
"Create a one‑page responsive website (HTML/CSS/JS) to the provided specifications: include interactive features, accessible markup, and fully commented code ready to paste into a file.",@trend-bot,Widely used by developers for rapid prototyping and teaching; appears in demo prompts and tutorials (Tom's Guide / YouTube demos).
"Generate Excel formulas or Google Sheets scripts to perform [described calculation/data transformation]; provide the formula/script, explanation, and edge‑case handling.",@yzfly,From the 'Awesome Claude Prompts' GitHub collection — highly trending among productivity power users automating spreadsheets.
"You are an AI assistant with a witty sense of humor and a knack for crafting clever puns and wordplay. When I give a topic, generate 10 original puns or one-liners related to it.",@anthropic,"Featured in Anthropic's Claude 3 prompt library and highlighted by Tom's Guide — trending for fun, shareable outputs."
"You are an AI assistant with a deep understanding of dream symbolism. After I describe a dream, analyze the symbols, emotions, and narrative and offer possible interpretations and reflective questions.",@anthropic,"Anthropic library pick (Tom's Guide) — trending as users seek introspective, therapeutic-style prompts."
"Generate 3 personalized recipes based on these available ingredients and dietary preferences: [ingredients], [diet]. For each recipe provide a short description, ingredient list, and step-by-step instructions that require minimal extra pantry items.",@anthropic,"Popular in the Claude prompt library and media roundups — practical, widely used for meal planning and reducing food waste."
"Act as a futuristic fashion advisor: ask brief style questions (body type, favorite colors, occasion), then suggest 3 avant‑garde outfit concepts with materials, accessories, styling tips, and a MidJourney prompt for each.",@trend-bot,From Tom's Guide coverage of the Claude prompt library — trending for creative styling and AI→image workflow use.
"Build a 30-day content calendar for [platform] in the [niche] space. Include 3 weekly themes, post types (text, carousel, video), 30 post ideas with short captions, and KPIs to track.",@aihustleguy,"One of the top use-cases from AI Hustle Guy — trending among creators for rapid, consistent content planning."
"Write a 60-second Instagram Reels script on [topic]. Start with a 5s hook, break into 3 clear visual points, include stage directions and suggested captions, and end with a CTA.",@aihustleguy,High-performing short-video format prompt cited by content creators — trending with rise of short-form video testing.
"Write a 7-tweet thread on [topic] that starts with a curiosity hook, uses short punchy sentences, includes 2 examples or analogies, and ends with a clear CTA to follow or share.",@aihustleguy,Viral-thread formula from AI Hustle Guy — trending for users aiming to grow X/Twitter reach.
"Create a detailed marketing campaign plan for [product] targeting [audience] with budget [X]. Include positioning, 3 channel strategies, sample ad copy variants, a 6-week timeline, and success metrics.",@godofprompt,Based on GodOfPrompt's top Claude marketing prompts — trending for marketers automating campaign ideation and copy testing.
"You are a pragmatic business strategist. Given this product idea: [description], output structured sections: market_validation, value_proposition, risks_challenges, go-to-market steps, and a 6‑month roadmap in plain JSON or XML-free format.",@godofprompt,Inspired by business/startup prompt templates in multiple Claude best-of lists — trending for founders using Claude to vet ideas and create launch plans.
"You are an AI assistant with a witty sense of humor and a knack for crafting clever puns and wordplay. When given a topic, generate 10 original puns, playful taglines, and short one-liners related to that topic.",@Anthropic,"From the Claude 3 prompt library (Tom's Guide); trending for playful, shareable outputs."
"You are an AI expert in dream interpretation. Given a user's dream description, analyze symbols, emotions, and narratives; offer multiple plausible interpretations and reflective questions to help the user derive personal meaning.",@Tomsguide,Featured in Anthropic's library and Tom's Guide coverage; popular for personal insight use-cases.
"Generate 3 personalized recipes based on these available ingredients: [list]. Respect dietary preferences [e.g., vegan, gluten-free]. For each recipe provide a short description, ingredient list, step-by-step instructions, and estimated cook time.",@Anthropic,Anthropic library prompt used widely for meal planning and grocery optimization.
"Act as a seasoned entrepreneur. Analyze this product idea: [description]. Provide market validation, value proposition, key risks, step-by-step go-to-market plan, KPIs, and a 60-second investor pitch. Output clearly labeled sections.",@godofprompt,Structured startup prompt (seen in prompt roundups) trending among founders for investor-ready guidance.
"Build a 30-day content calendar for [platform] in the [niche] space. Include 3 weekly themes, post types (text, carousel, video), suggested hooks, CTAs, and a publishing schedule.",@aihustleguy,From a popular Claude content stack; widely used by creators to scale consistent posting.
"Write a 60-second Instagram Reel script on [topic]. Start with a 5-second hook, deliver three quick points or visuals, include a one-line CTA, and add brief stage directions for captions and b-roll.",@aihustleguy,High-performing short-video prompt trending with social media marketers and creators.
"Write a 7-tweet Twitter thread on [topic] that opens with a curiosity hook, uses short punchy sentences, includes two examples or analogies, and ends with a clear CTA to follow or engage.",@aihustleguy,Viral-thread template frequently recommended in Claude prompt collections for audience growth.
"Create a detailed 30-day marketing plan to launch [product] in [market]: define target segments, messaging pillars, channel mix, content ideas, budget allocation, A/B tests, and KPIs to track.",@godofprompt,"Top marketing prompt from prompt guides; trending for rapid, actionable go-to-market strategies."
"I have these tasks: [list]. Sort them by urgency and importance (Eisenhower), then produce a prioritized schedule for today with 25-minute focus blocks, 5-minute breaks, and quick tips to avoid distractions.",@aitrickslab,'Task Sorter' productivity prompt popular for time-blocking and focus workflows (AiTricksLab list).
"Summarize this uploaded research paper into a 4-tweet thread that clearly conveys the key findings, methods, and implications. Provide an optional one-line hook for each tweet.",@FavTutor,"FavTutor and other guides promote using Claude's long-context ability to turn papers into concise, shareable threads."
"You are an AI financial advisor. Given my income: [ ], expenses: [ ], debts: [ ], and goals: [ ], produce a monthly budget, debt‑repayment plan, investment allocation, retirement projection, and action checklist. Output in clear sections and do not use XML tags.",@trend-bot,Recommended in '20 Best Claude AI Prompts' as a top practical finance prompt.
"Act as a seasoned entrepreneur and pragmatic business strategist. Analyze this product idea: [describe]. Provide market validation, target customers, unique value proposition, key risks, step‑by‑step go‑to‑market plan, prototyping and testing guidance, and a concise vision narrative.",@trend-bot,From a structured example in godofprompt.ai showing Claude's long‑context and roleplay strengths.
"Act as an expert editor. Improve the text below for [audience] while preserving voice. Provide a revised version, a 3‑point style edit summary, and a short changelog of edits made.",@yzfly,Listed in the 'awesome‑claude‑prompts' GitHub repo as a high‑utility editing prompt.
"Create a content brief for a 2000‑word article on [topic]: include outline, target audience, 5 key takeaways, suggested references, SEO keywords, and recommended headings.",@trend-bot,Featured in FavTutor's '100+ Claude 3 Prompts' as essential for writers and content teams.
"Write a YouTube video script for [topic] (duration: X minutes). Include an SEO‑optimized title, 3 hook variations, section timestamps, suggested B‑roll, and 5 thumbnail text ideas.",@trend-bot,Popular in creator tutorials and the '30 Prompts' YouTube roundup for video producers.
"You are an AI assistant with a witty sense of humor. When given a topic, generate 15 original puns, wordplays, and one‑line jokes related to that topic, ranked by funniness.",@anthropic,From Anthropic's Claude prompt library (highlighted by Tom's Guide) — a viral playful prompt.
"You are an AI dream interpreter. Given my dream description, analyze symbols, emotions, and narrative, offer possible psychological meanings, and ask 3 follow‑up questions to clarify context.",@anthropic,Featured by Tom's Guide summarizing Anthropic's prompt library as a trending introspective prompt.
"Design a murder mystery game for up to 8 players set in a 1920s mansion. Provide character briefs, objectives, clues and red herrings, a play flow, and a final twist reveal.",@tomsguide,One of Tom's Guide's '5 mind‑blowing prompts' showing Claude's game‑design creativity.
"Create an animation concept: a castle that transitions through times of day and seasons. Describe scene changes over a 10‑second day cycle, assets needed, and a simple animation storyboard.",@tomsguide,Highlighted by Tom's Guide as an example of Claude generating animation concepts and code.
"Build a product launch marketing plan for [product] launching next month: include target segments, messaging, channel mix, sample ad copy, timeline, budget estimate, and KPIs to track.",@trend-bot,From Godofprompt's '10 Top Claude Prompts for Developing Marketing Campaigns' — widely reused by marketers.
Market segmentation analysis for [PRODUCT/SERVICE]: divide the market into distinct consumer subsets and provide strategic branding recommendations,@trend-bot,Trending for business users seeking targeted go‑to‑market plans; seen in Claude prompt roundups (godofprompt.ai).
"Personal AI financial advisor: analyze personal finances, answer questions, and provide management guidance tailored to a user's details",@trend-bot,High demand for fintech use-cases; popularized in Claude example prompts for financial planning.
"Recruiting and hiring process improvement assistant: audit recruiting, hiring, training, and retention workflows and recommend improvements",@trend-bot,Organizations use Claude to optimize HR workflows; appears in business-focused prompt lists.
"Startup validation & go‑to‑market roadmap: act as a seasoned entrepreneur to validate an idea, identify risks, and create step‑by‑step advice to reach revenue",@trend-bot,Entrepreneurship prompts are trending for founders using Claude to accelerate planning and investor prep.
"Pun-derful adventure: take a topic and generate original puns, wordplay, and humorous phrases",@anthropic,"Featured in Anthropic's Claude prompt library and Tom's Guide as a fun, viral prompt for creative output."
"Dream interpretation assistant: analyze dream descriptions for symbolism, emotions, and possible meanings with reflective questions",@anthropic,Popular for lifestyle/useful prompts in Anthropic's library and media write-ups about Claude's creative assistants.
"Personalized recipe generator: create recipes from provided ingredients and dietary preferences, including steps and minimal extra ingredients",@anthropic,Widely used and highlighted in Claude prompt libraries and Tom's Guide as a practical household helper.
"Design a murder mystery game for up to 8 players set in a 1920s mansion: characters, clues, red herrings, and a twist ending",@tomsguide,Trending as a social/entertainment prompt — Tom's Guide recommends it for event planning and game nights.
Create an animation that transitions through times of day and seasons with fluid visual changes and timing details,@tomsguide,Noted in Tom's Guide as an example of Claude's capability to generate structured animation specs and code.
Task Sorter & Focus Blocks: sort tasks by urgency/importance and produce a Pomodoro-style daily schedule with tips to stay focused,@aitrickslab,"Productivity prompts (task sorting, Pomodoro schedules) are heavily shared among users for boosting daily output (Ai Tricks Lab)."
"Conduct a comprehensive market segmentation analysis for [PRODUCT/SERVICE]: define segments by demographics/psychographics/behavior, estimate TAM/SAM/SOM, prioritize targets, and recommend positioning, messaging, and go‑to‑market tactics.",@trend-bot,Popular for strategic planning — source: godofprompt.ai
"Build a 30‑day content calendar for [platform] in [niche] with 3 weekly themes, varied post types (text, carousel, video, story), hooks, and metrics to track.",@aihustleguy,High demand from creators for consistent content systems — source: aihustleguy
"Write a 60‑second Instagram Reel script on [topic]: open with a 5‑second hook, deliver 3 bite‑sized points, include visual cues, and end with a clear CTA.",@aihustleguy,Short‑form video growth prompt trending for reels/TikTok — source: aihustleguy
"Write a 7‑tweet viral Twitter/X thread on [topic] that starts with a curiosity hook, uses short punchy lines, includes 2 examples/analogies, and ends with a CTA to follow or engage.",@trend-bot,"Widely used for audience growth and thought leadership — sources: AIHustleGuy, FavTutor"
"Create a Python script for exploratory data analysis (EDA) on the uploaded dataset: include data loading, cleaning, visualizations, summary statistics, and actionable insights.",@trend-bot,Trending for data teams and analysts — source: FavTutor
"Design a complete ML pipeline for a [classification/regression] problem: include preprocessing, feature engineering, model selection, hyperparameter tuning, evaluation, and comparison of ≥3 algorithms.",@trend-bot,High interest among ML practitioners — source: FavTutor
"Act as an expert marketing consultant and produce a detailed marketing plan for [PRODUCT]: customer persona, channel mix, creative concepts, media plan, KPIs, and a 90‑day launch checklist.",@trend-bot,Common prompt for CMOs and founders — source: godofprompt.ai
Sort this list of tasks by urgency and importance and output a schedule for today using 25‑minute focus blocks and 5‑minute breaks; highlight 3 ways to reduce context switching.,@aitrickslab,Productivity prompt trending with remote/work‑from‑home users — source: AiTricksLab
"Assume the role of a seasoned entrepreneur: evaluate this startup idea [DESCRIPTION], validate market opportunity, list key risks, and give a step‑by‑step path to first revenue.",@trend-bot,Popular among founders for rapid validation — source: Perplexity context (role‑play examples)
"Summarize this research paper and convert the key findings into a 4‑tweet thread that clearly communicates results, implications, and a single follow‑up CTA.",@trend-bot,Used for academic outreach and social dissemination — source: FavTutor
"You are a seasoned entrepreneur. Analyze this product/service idea, validate the market opportunity, identify key risks and challenges, and give step-by-step advice to go from idea to revenue. Return output in the following XML-like structure: <product_idea>...</product_idea><market_validation>...</market_validation><risks_challenges>...</risks_challenges><go_to_market>...</go_to_market><vision_narrative>...</vision_narrative>",@trend-bot,"Inspired by godofprompt example — trending for structured, machine-readable business analysis using Claude's long context"
"Build a 30-day content calendar for [platform] in the [niche] space. Include 3 weekly themes, varied post types (text, carousel, video, story), post captions, hooks, and a CTA for each day.",@aihustleguy,From '25 Claude Prompts' — popular with creators for scalable content planning
"Write a 60‑second Instagram Reels script on [topic]. Start with a 5‑second hook, break content into three clear points, include visual cues, and end with a call-to-action to follow or DM.",@aihustleguy,High-engagement short-video prompt driving social growth and used widely by marketers
"Turn this tweet into a 30‑second video script: [paste tweet]. Provide a visual hook, 2–3 supporting beats, an example or analogy, and a CTA (follow/save/share).",@aihustleguy,Common repurposing prompt — helps creators convert short text into snackable video formats
"You are an AI recipe assistant. Given a list of available ingredients and dietary preferences, generate 3 recipe ideas with a brief description, exact ingredient list, and simple step-by-step instructions that require minimal extra ingredients.",@Anthropic,"From the Claude 3 prompt library — trending because users ask Claude to craft personalized, pantry-first recipes"
"You are an AI dream analyst. After I describe a dream, interpret symbols, emotions, and possible meanings, offer multiple perspectives, and suggest reflective questions the user can consider.",@trend-bot,Featured in Anthropic's prompt collection — trending for personal insight and wellbeing use-cases
"You are a witty pun-maker. When given a topic, produce an original list of clever puns, wordplay, and humorous one-liners related to that topic (aim for 10 unique entries).",@trend-bot,Tom's Guide highlights this 'pun-derful' prompt from Anthropic's library — widely shared for fun interactions
"Create a Python script to perform exploratory data analysis (EDA) on the uploaded dataset. Include data loading, cleaning steps, summary statistics, visualizations (matplotlib/seaborn), and a short findings section with next-step recommendations.",@FavTutor,Technical prompt pulled from FavTutor's Claude prompts — trending among data practitioners automating EDA
"Summarize the uploaded research paper into a 4‑tweet Twitter thread that clearly conveys the study's key findings, methodology highlights, and one practical takeaway per tweet.",@FavTutor,From FavTutor examples — popular for researchers and communicators converting papers into social-friendly summaries
"Audit our current marketing strategy and produce a detailed campaign plan: evaluate existing channels, define target segments, set objectives/KPIs, propose messaging, recommend tactics and budgets, and provide a monitoring/reporting checklist.",@trend-bot,Top marketing prompt referenced by godofprompt and marketing roundups — trending as marketers lean on Claude for strategy work
"You are an AI assistant with a witty sense of humor and a knack for crafting clever puns and wordplay. When a user provides a topic, generate a list of original puns and playful one-liners related to that topic.",@trend-bot,From Anthropic's Claude prompt library; trending for quick creative social content and viral posts (Tom's Guide).
"You are an AI assistant skilled in dream interpretation. Given a user's dream description, analyze symbolism, emotions, and narrative and offer possible interpretations while prompting reflection.",@trend-bot,Popular after Anthropic's library release — useful for personal insights and shareable content (Tom's Guide).
